,nifty50_close,sp500_close,gold_close,brent_close,usd_inr_close,nifty50_monthly_return,sp500_monthly_return,gold_monthly_return,brent_monthly_return,usd_inr_monthly_change,us_cpi_index,us_unemployment_rate,us_fed_funds_rate,us_10y_yield,log_nifty50_close,log_sp500_close,log_gold_close,log_brent_close,log_usd_inr_close,log_us_cpi_index,log_us_unemployment_rate,log_us_fed_funds_rate,log_us_10y_yield,log_return_nifty50_close,log_return_sp500_close,log_return_gold_close,log_return_brent_close,log_return_usd_inr_close,log_nifty50_monthly_return_shifted,log_sp500_monthly_return_shifted,log_gold_monthly_return_shifted,log_brent_monthly_return_shifted,log_usd_inr_monthly_change_shifted
log_us_unemployment_rate,-0.6469897501525392,-0.6198340210141677,-0.23037573260234695,0.285140010552492,-0.7402391994840337,0.10019254275848484,0.12743158937347046,0.003138591405857808,0.18429120850846128,0.008017380219489341,-0.6585206178245677,0.9857993039230655,-0.6402118743424076,-0.3476129227120215,-0.7348150377482018,-0.7182593949989724,-0.2248834021754783,0.1959226725505437,-0.7576173977097534,-0.6780510688517469,1.0,-0.7720279513562728,-0.36063129301690466,0.09243563646294176,0.1263876631435219,-0.004231128888473655,0.16961446761977828,0.0012626606502914204,0.09386466820784464,0.12648938615918462,-0.0034187385878701824,0.17598961146616177,0.001679546987080194
log_us_fed_funds_rate,0.7077350011068252,0.6428820538310501,0.4643505349528197,-0.21075217321944809,0.6729421374496246,-0.057912245174827626,-0.03265761333965284,0.14232627147366164,-0.14019365392992023,-0.026659320336817144,0.7277140278084194,-0.7109169703618402,0.9097415898170413,0.6646589594004081,0.7069172737427383,0.6448384624721663,0.45155447734378446,-0.12228467311989277,0.6427447495211477,0.7245563446547267,-0.7720279513562728,1.0,0.5970920249913149,-0.052103371053756266,-0.03293937101630298,0.1483145171759989,-0.12127196722245137,-0.020996740873651012,-0.0531800504904711,-0.03289248979905828,0.14766913688166317,-0.1290641744290186,-0.021346740185225203
log_us_10y_yield,0.4220160478161925,0.31990922825456564,0.3200913664573285,0.34861783957827186,0.1940667340678809,-0.058576597257069485,-0.023572835363233114,0.06755903632559854,-0.07196104980049998,0.001426854869576967,0.4165150787314015,-0.3522256910622895,0.6447579944979674,0.9588703363270097,0.31917072727102014,0.21545147306045992,0.2647466914476454,0.4406123283676468,0.13705220464473897,0.3876301906387491,-0.36063129301690466,0.5970920249913149,1.0,-0.041661649150611324,-0.018351842308956944,0.0697250149008915,-0.01251760816604444,0.002732980763951726,-0.04507473841413173,-0.01893172248695301,0.06949672015827336,-0.03691838437754054,0.002651956846265989
log_return_nifty50_close,0.06123515173007495,0.04644747412274066,0.022163557201920574,0.002481150996265978,0.007547444134027558,0.9984153126352552,0.5367136423167065,0.08297074287023702,0.2884292920146637,-0.5485937085460572,0.018583000244707912,0.10219560583327723,0.0009866049696084357,-0.03208414699665426,0.07540501541632956,0.054694350863856045,0.02860376187784473,0.03486098233479172,0.010847480342643026,0.019915566238172977,0.09243563646294176,-0.052103371053756266,-0.041661649150611324,1.0,0.537749107425678,0.08494753464097117,0.3384027375717959,-0.5491627576354714,0.9999337158484867,0.5376252576628185,0.08473471488253723,0.31734591991817124,-0.5491478311781791
log_return_sp500_close,0.04492136244806492,0.06554265215737376,0.05366831369236306,-0.0010874410597736044,-0.0009483685399950609,0.5367051248519304,0.999487628787425,0.07970559760948774,0.4307842234715333,-0.37877351033841616,0.013644074284386251,0.14153078650905715,0.034053799177300996,0.0010700940114827333,0.039400889841903125,0.05689797574083925,0.05747685480565735,0.017078630641228467,-0.004429807756610997,0.011801135970906082,0.1263876631435219,-0.03293937101630298,-0.018351842308956944,0.537749107425678,1.0,0.08183842400086905,0.439654778432308,-0.3778009535308145,0.5376353288411035,0.9999936254659041,0.081611650423007,0.4377404247042282,-0.3778743326856488
log_return_gold_close,0.16215229109630963,0.16129108798770775,0.25288465660126275,-0.09372738255461266,0.10039349007462157,0.0900634324353078,0.08382874215349793,0.999512394214747,0.054823209421955635,-0.1945845175609102,0.14873510726855457,0.02882840403122351,0.17680008852485773,0.12475698127718009,0.1343000872326774,0.11984256965317251,0.2501326760864776,-0.0975678677825998,0.07355655859995276,0.14072844538796866,-0.004231128888473655,0.1483145171759989,0.0697250149008915,0.08494753464097117,0.08183842400086905,1.0,0.053984487596505336,-0.19329835494134281,0.08596631059973922,0.08206195385441215,0.9999941727552707,0.055285849835766385,-0.1933939133280043
log_return_brent_close,-0.007967503769826068,0.008656761892659803,-0.005400273336455127,0.12065553406382012,-0.059191567707278236,0.31775783984410516,0.4337876758727694,0.054327948632532604,0.9849531870314127,-0.15591849861007326,-0.038671895869925435,0.19523158564221668,-0.07728547404548833,-0.012630133679996972,-0.004512750731565018,0.0028293125126291918,0.015183279761030828,0.1573470985327822,-0.06380723485886881,-0.03858364901685759,0.16961446761977828,-0.12127196722245137,-0.01251760816604444,0.3384027375717959,0.439654778432308,0.053984487596505336,1.0,-0.15433183518311905,0.33405141509306263,0.43897761269976576,0.05402091465576291,0.9971584867726545,-0.15443968050284448
log_return_usd_inr_close,-0.034894037252113534,-0.027825472308019863,0.005130258451695203,0.07443813131457534,0.026849601878211542,-0.5506804067709941,-0.3758667405031771,-0.18587763327531004,-0.13971874490724612,0.9996740000003702,-0.006830745012212044,-0.0016653542240093644,-0.02470526879786321,-0.0068225351383750955,-0.05715058763285852,-0.04225032047024977,0.00563322968669653,0.05924476381688574,0.030555250559878455,-0.007439199371120532,0.0012626606502914204,-0.020996740873651012,0.002732980763951726,-0.5491627576354714,-0.3778009535308145,-0.19329835494134281,-0.15433183518311905,1.0,-0.5496912186144197,-0.3776110848612131,-0.19248122966986198,-0.1485300559744574,0.9999987667635573
log_nifty50_monthly_return_shifted,0.060129079862859335,0.045560897254908216,0.021826641210090723,0.000850624846972901,0.007246943288494433,0.9989958206766625,0.5367949495056433,0.08399310121811894,0.2854656895792238,-0.5490746613211895,0.01780685581118729,0.10380370525138574,-0.0002571468717226091,-0.03457985044866388,0.07440877285919623,0.05397388022768426,0.02854090080364596,0.0320181189628636,0.010556952083789992,0.01918600589271497,0.09386466820784464,-0.0531800504904711,-0.04507473841413173,0.9999337158484867,0.5376353288411035,0.08596631059973922,0.33405141509306263,-0.5496912186144197,1.0,0.5375337973155556,0.08575383923256454,0.313607525513255,-0.5496733553635307
log_sp500_monthly_return_shifted,0.04500597563079316,0.06559020878567552,0.053638134120008674,-0.0014750328347315743,-0.0006704837126488757,0.5366916044321257,0.9995954444556694,0.07992863642452365,0.4303676346637215,-0.37857956417524596,0.01386536554871221,0.14183920693570207,0.03404517948718221,0.0007698748500206937,0.03955537681878124,0.05699875014837481,0.057584313521838584,0.016460766731901125,-0.004185525782921912,0.012038242528831225,0.12648938615918462,-0.03289248979905828,-0.01893172248695301,0.5376252576628185,0.9999936254659041,0.08206195385441215,0.43897761269976576,-0.3776110848612131,0.5375337973155556,1.0,0.08183515583127501,0.43717595410655197,-0.37768420135690894
log_gold_monthly_return_shifted,0.16171745709603408,0.16088684644737666,0.25305385688664156,-0.09327055467670728,0.09995215635624394,0.08985494019949372,0.08360234267415777,0.9996130732403942,0.05481716549570454,-0.19375306570439066,0.1483862909312321,0.029590934769740094,0.17644151030533597,0.12452374680658711,0.13369292417653086,0.11928478959563615,0.2503008175201032,-0.0971958137169349,0.07308718417315119,0.14035362925983966,-0.0034187385878701824,0.14766913688166317,0.06949672015827336,0.08473471488253723,0.081611650423007,0.9999941727552707,0.05402091465576291,-0.19248122966986198,0.08575383923256454,0.08183515583127501,1.0,0.05530458545332863,-0.19257588240963203
log_brent_monthly_return_shifted,-0.012794202950814914,0.006778006599939636,-0.00896132511941166,0.10491157235427938,-0.05691746958876414,0.29964975366037644,0.43283933805528396,0.05546377609547017,0.9950924852400117,-0.15002803613028948,-0.04178935718239396,0.2032257625785977,-0.08658915904928956,-0.030320218141136904,-0.007194749464188206,0.0031843709405019196,0.013324172645332578,0.13497420576208793,-0.06125892543869718,-0.041110817604207095,0.17598961146616177,-0.1290641744290186,-0.03691838437754054,0.31734591991817124,0.4377404247042282,0.055285849835766385,0.9971584867726545,-0.1485300559744574,0.313607525513255,0.43717595410655197,0.05530458545332863,1.0,-0.14863211521110736
log_usd_inr_monthly_change_shifted,-0.035341927200997235,-0.028261560418945036,0.004940482371985021,0.0748159585226319,0.02645331017257657,-0.5506505895646775,-0.3759377899967746,-0.18596509519001317,-0.1398130702591925,0.999712844537017,-0.0072377723671085805,-0.0012830777145955163,-0.025017294634420466,-0.006966618863471225,-0.05766705606403883,-0.04273093581283365,0.00545400866434741,0.059557800902415706,0.030167113271124972,-0.007854643229237061,0.001679546987080194,-0.021346740185225203,0.002651956846265989,-0.5491478311781791,-0.3778743326856488,-0.1933939133280043,-0.15443968050284448,0.9999987667635573,-0.5496733553635307,-0.37768420135690894,-0.19257588240963203,-0.14863211521110736,1.0
