Year,cpi,gdp_growth,gdp_usd,unemployment,capital_formation,exports_pct_gdp,imports_pct_gdp,gov_consumption,current_account,log_cpi,log_gdp_usd,log_unemployment,log_capital_formation,log_exports_pct_gdp,log_imports_pct_gdp,log_gov_consumption,log_return_cpi,log_return_gdp_usd,log_return_unemployment,log_return_capital_formation,log_return_exports_pct_gdp,log_return_imports_pct_gdp,log_return_gov_consumption,log_gdp_growth_shifted,log_current_account_shifted
2011,108.911793364834,5.24131619937695,1823051829894.55,7.616,39.590421855219,24.5404113195713,31.0834686939585,11.0844615855594,-3.42928468606061,4.690538319436589,28.231533042320507,2.0302512974890643,3.6785872166616476,3.2003212003310226,3.436676124611754,2.4055442704461,0.08536813344849775,0.08433135429770104,-0.004715754088942287,-0.004918428992212783,0.0912185794452911,0.14625116367147067,0.006957612395976803,2.4864921344297874,0.9460844703965614
2012,119.235538897084,5.45638755166587,1827637590410.41,7.666,38.3474156730403,24.534430661418,31.2592910673332,10.6838562318127,-5.00488971805303,4.781100855304594,28.234045314606547,2.0367949669583636,3.6466871376166594,3.200077464113381,3.442316646147978,2.368733838756268,0.09056253586800415,0.0025122722860386505,0.006543669469299244,-0.031900079044988025,-0.000243736217641924,0.005640521536223865,-0.03681043168983169,2.504228136725134,0.0
2013,131.18041028234,6.38610640094825,1856721507621.58,7.711,34.0231978997548,25.430861300519,28.4132706461587,10.2951601419598,-2.64566711733892,4.876573553489453,28.249833418082037,2.0426478808508235,3.52704258313062,3.2359634483264164,3.346856312300794,2.331673895672981,0.09547269818485941,0.0157881034754926,0.005852913892460162,-0.11964455448603968,0.03588598421303552,-0.09546033384718429,-0.03705994308328741,2.577473001145878,1.2117095783701284
2014,139.924446113916,7.41022760508854,2039126479154.52,7.674,34.2678056268836,22.9679630081172,25.9542227389497,10.4408568081213,-1.33950896483452,4.941102606319819,28.343542635589493,2.0378379918247607,3.5342063019392067,3.1341003322339236,3.2563343223445496,2.345726648830375,0.06452905283036608,0.09370921750745598,-0.004809889026062919,0.0071637188085870405,-0.1018631160924931,-0.09052198995624416,0.014052753157394165,2.6523931757523966,1.54016945009373
2015,146.790501522574,7.99625378571471,2103588360044.94,7.631,32.1167301358276,19.8131891564045,22.1097247094602,10.4282907091862,-1.06754907167964,4.989006410562352,28.37466574529629,2.0322188983074962,3.469377082396673,2.986347834952023,3.0960175438402446,2.34452237343356,0.04790380424253265,0.031123109706797197,-0.005619093517264514,-0.0648292195425336,-0.14775249728190043,-0.16031677850430504,-0.0012042753968147977,2.6928674233441976,1.5968268555541936
2016,154.054013105394,8.25630550179086,2294796885663.16,7.601,30.172690580036,19.1582349105946,20.9242508026814,10.3085480747222,-0.527880606037518,5.03730327537129,28.46166545254542,2.028279817583903,3.4069372298388285,2.9527326446349043,3.0409088118005796,2.3329734612177666,0.048296864808938605,0.08699970724913045,-0.003939080723592747,-0.06243985255784459,-0.0336151903171188,-0.05510873203966499,-0.011548912215793872,2.7103163121093092,1.7005591694875315
2017,159.18119775209,6.79538341897911,2651474262755.45,7.618,30.9821728344733,18.7917648392982,21.9507321152243,10.7671989547856,-1.43948820320988,5.070043161863089,28.606136926803075,2.0305138680564125,3.4334119692133567,2.933418733405292,3.0888004927337165,2.376504378863436,0.03273988649179925,0.1444714742576529,0.0022340504725089187,0.026474739374527975,-0.019313911229612124,0.04789168093313709,0.04353091764566954,2.608090491529373,1.5185064652378528
2018,165.451068899504,6.45385134497769,2702929641648.74,7.652,32.3432182154485,19.9278285988562,23.6891407335327,10.8232185258548,-2.42697545810527,5.1086754949058575,28.625357353157383,2.0349670515780063,3.4764043611166087,2.992117176902025,3.1650167462394565,2.381693689985532,0.03863233304276795,0.019220426354308793,0.004453183521594192,0.04299239190325194,0.05869844349673312,0.07621625350573964,0.005189311122096301,2.5826060981554275,1.2747800216769254
2019,171.621576003377,3.87143694070356,2835606256558.19,6.51,30.0961975685688,18.664264897257,21.2411386333872,11.0026755133718,-1.04961203910072,5.145291913435383,28.673276877356702,1.873339456220478,3.4043988371493286,2.9266107275704565,3.0559398029117975,2.3981384717114627,0.03661641852952537,0.04791952419931874,-0.16162759535752863,-0.0720055239672799,-0.0655064493315686,-0.10907694332765905,0.016444781725930595,2.365481170519087,1.6004532063635892
2020,182.988822584425,-5.77772470686801,2674851578587.27,7.859,28.9223840080659,18.6824769296756,19.0756283996012,11.6124524106018,1.22362111042791,5.209425072202403,28.614915010096915,2.061659371884038,3.364615828473446,2.927586021958738,2.948411520250497,2.452078006013308,0.06413315876701998,-0.05836186725978653,0.18831991566356,-0.03978300867588264,0.0009752943882817922,-0.10752828266130023,0.05393953430184491,0.0,1.978033043791238
2021,192.378724699015,9.68959249192875,3167270623260.47,6.38,32.1158221755014,21.3991583305515,24.0239304534931,10.4763782400684,-1.05524166809383,5.259465953629906,28.783891330816473,1.8531680973566984,3.46934881136295,3.0633515909062865,3.1790504358005944,2.349123031383945,0.0500408814275037,0.16897632071955848,-0.20849127452733937,0.10473298288950394,0.13576556894754827,0.23063891555009752,-0.10295497462936286,2.801377640745229,1.5993164730344582
2022,205.266241146235,7.60936497768895,3346107287730.93,4.822,33.6192585388984,23.2515412045298,26.8237289453584,10.255037910793,-2.36247481487452,5.324307873807321,28.8388187824534,1.5731887797589794,3.5150990735700627,3.1463714182032616,3.289286904182899,2.32776908832814,0.0648419201774143,0.05492745163692889,-0.27997931759771916,0.045750262207112855,0.08301982729697516,0.11023646838230464,-0.021353943055805197,2.6663312547573654,1.2926468966121287
2023,216.862025027426,9.19075493028345,3638489096033.86,4.172,33.3623103638844,21.4486977833541,23.544144504402,10.3054222433801,-0.878262847208682,5.379261321948542,28.92258962789901,1.428395537138526,3.507426830604616,3.0656639341303946,3.15887714854409,2.3326701881153196,0.05495344814122152,0.08377084544560791,-0.14479324262045343,-0.007672242965446839,-0.0807074840728673,-0.13040975563880935,0.004901099787179934,2.7706167565147544,1.6344479128651532
2024,227.603278134168,6.49476552383821,3909891533858.08,4.202,32.9141372549127,21.1618460520863,23.4874474548813,9.98882419189295,-0.82224320865487,5.4276041051984,28.994530748839782,1.4355606024228087,3.4939022692718273,3.0521998457218498,3.1564661275846086,2.301466887224235,0.048342783249857926,0.07194112094077312,0.007165065284282769,-0.013524561332788478,-0.013464088408544813,-0.0024110209594811055,-0.031203300891084765,2.585693489420133,1.6453158349519725
